price,livingArea,bedrooms,bathrooms,yearBuilt,homeType,garageSpaces,streetAddress,city,latitude,longitude,house_age
5950000.0,2315.0,4.0,4.0,1936,SINGLE_FAMILY,0.0,3363 Seventeen Mile Dr,Pebble Beach,36.56838989257813,-121.93734741210938,90
4995000.0,3100.0,4.0,4.0,1970,SINGLE_FAMILY,0.0,3183 Palmero Way,Pebble Beach,36.56853485107422,-121.9352798461914,56
3200000.0,3108.0,4.0,4.0,1970,SINGLE_FAMILY,0.0,2971 Colton Rd,Pebble Beach,36.59503936767578,-121.94401550292967,56
769000.0,1492.0,2.0,2.0,1983,CONDO,0.0,21 Shepherds Knl #21,Pebble Beach,36.58172225952149,-121.91297912597656,43
28500000.0,8232.0,5.0,8.0,1988,SINGLE_FAMILY,0.0,1470 Cypress Dr,Pebble Beach,36.5665397644043,-121.95211791992188,38
2799000.0,2763.0,4.0,3.0,1967,SINGLE_FAMILY,0.0,1176 Arroyo Dr,Pebble Beach,36.59488296508789,-121.93852996826172,59
1750000.0,2447.0,3.0,3.0,1965,SINGLE_FAMILY,0.0,4091 Sunset Ln,Pebble Beach,36.5830078125,-121.92171478271484,61
4499000.0,3246.0,3.0,4.0,1927,SINGLE_FAMILY,0.0,3088 Valdez Rd,Pebble Beach,36.59769058227539,-121.9557113647461,99
15000000.0,7826.0,5.0,7.0,2021,SINGLE_FAMILY,0.0,1605 Sonado Rd,Pebble Beach,36.57104110717773,-121.93310546875,5
9750000.0,3964.0,5.0,5.0,1927,SINGLE_FAMILY,0.0,3269 Cabrillo Rd,Pebble Beach,36.56535339355469,-121.95626068115234,99
6998000.0,7734.0,5.0,8.0,1989,SINGLE_FAMILY,0.0,1215 Sombria Ln,Pebble Beach,36.57617950439453,-121.96367645263672,37
3095000.0,2198.0,4.0,3.0,1954,SINGLE_FAMILY,0.0,2888 Galleon Rd,Pebble Beach,36.60506057739258,-121.9436264038086,72
11500000.0,5879.0,7.0,6.0,1938,SINGLE_FAMILY,0.0,3321 Seventeen Mile Dr,Pebble Beach,36.57183074951172,-121.94583892822266,88
13800000.0,4232.0,7.0,7.0,1920,SINGLE_FAMILY,0.0,3322 Seventeen Mile Dr,Pebble Beach,36.57132339477539,-121.94544982910156,106
25000000.0,7735.0,7.0,8.0,1970,SINGLE_FAMILY,0.0,3162 Seventeen Mile Dr,Pebble Beach,36.57686996459961,-121.97317504882812,56
10998000.0,9639.0,5.0,8.0,2003,SINGLE_FAMILY,0.0,Cortez Rd,Pebble beach,36.575138092041016,-121.93771362304688,23
8900000.0,12720.0,7.0,10.0,2006,SINGLE_FAMILY,0.0,3360 Kingsley Ct,Pebble Beach,36.56898880004883,-121.92269897460938,20
6995000.0,5200.0,5.0,6.0,2020,SINGLE_FAMILY,0.0,23 Poppy Ln,Pebble Beach,36.58953475952149,-121.93891143798828,6
6649000.0,8995.0,7.0,7.0,2006,SINGLE_FAMILY,0.0,3108 Flavin Ln,Pebble Beach,36.5780143737793,-121.93215942382812,20
9975000.0,8197.0,6.0,9.0,1980,SINGLE_FAMILY,0.0,3205 Ballantrae Ln,Pebble Beach,36.57096481323242,-121.96744537353516,46
2398000.0,3635.0,5.0,3.0,1973,SINGLE_FAMILY,0.0,2002 Majella Rd,Pebble Beach,36.60338973999024,-121.93572235107422,53
1150000.0,1776.0,4.0,3.0,1975,CONDO,2.0,8874 Caminito Primavera,La Jolla,32.868770599365234,-117.23978424072266,51
724999.0,1104.0,2.0,2.0,1979,CONDO,2.0,8720 Villa La Jolla Dr UNIT 120,La Jolla,32.867443084716804,-117.23502349853516,47
1750000.0,2544.0,4.0,3.0,1990,SINGLE_FAMILY,2.0,5510 Moonlight Ln,La Jolla,32.81456756591797,-117.25794219970705,36
4195000.0,2627.0,3.0,2.0,1991,SINGLE_FAMILY,2.0,450 Arenas St,La Jolla,32.83514404296875,-117.2783203125,35
2450000.0,2699.0,4.0,3.0,1991,SINGLE_FAMILY,3.0,1407 Caminito Faro,La Jolla,32.81598281860352,-117.24921417236328,35
1599000.0,2086.0,3.0,4.0,1980,SINGLE_FAMILY,0.0,2459 Ardath Rd,La Jolla,32.84914016723633,-117.25048065185548,46
3298000.0,4564.0,5.0,5.0,2004,SINGLE_FAMILY,2.0,5410 La Jolla Mesa Dr,La Jolla,32.81329345703125,-117.26028442382812,22
